id,name,location,price,date
1,Switchable,283 Utah Place,$99.79,2017-05-13
2,logistical,5977 Blaine Avenue,$517.38,2017-08-05
3,fresh-thinking,03694 Hagan Place,$432.68,2017-02-09
4,Robust,30 Surrey Hill,$309.58,2017-01-23
5,Centralized,480 Mccormick Hill,$571.01,2017-01-11
6,scalable,568 Maryland Plaza,$159.25,2017-12-01
7,didactic,79510 Ilene Plaza,$558.83,2017-03-18
8,Face to face,8175 Fordem Place,$112.35,2017-12-01
9,Total,87 Welch Trail,$763.63,2017-11-24
10,Integrated,12 Stone Corner Place,$283.10,2017-08-05
11,initiative,83 Stephen Trail,$603.46,2017-02-14
12,parallelism,13014 Pankratz Drive,$545.61,2017-07-28
13,instruction set,93 Cottonwood Way,$115.63,2017-01-16
14,Profit-focused,8374 Fair Oaks Junction,$79.27,2017-07-14
15,Adaptive,87 Carberry Junction,$710.43,2017-01-09
16,high-level,5 Buell Lane,$678.74,2017-06-21
17,Multi-lateral,196 Ryan Place,$473.69,2017-11-18
18,solution,3183 Sachs Park,$267.13,2017-10-18
19,knowledge base,0177 Loeprich Circle,$643.32,2017-03-29
20,help-desk,96742 Melody Drive,$114.07,2017-04-04
